id,trigger,conditions,script,text,options,notes
pickedGamblerOptionBLeave,DialogOptionSelected,$option == pickedDeclineLeave,"ShowDefaultVisual
EndConversation
#DismissDialog",,,
,,,,,,
,,,,,,
pickedGamblerPurchased,DialogOptionSelected,$option == pickedPurchasedCont,"#CreditCheck
SPHMUPlaySound ui_intel_log_update
AddCredits -100000","""Confirmed. Credits received. You know what? I might see if I can recoup my losses with this. Don't worry about me, okay? Lady Luck is calling my name!""

He calls over the bartender, who pours him another drink. He raises his whiskey and looks you in the eyes.",pickedPurchasedEnd:Cheers,
pickedGamblerEnd,DialogOptionSelected,$option == pickedPurchasedEnd,"SetTextHighlights Provost Baird
ShowDefaultVisual","He slams the drink down his gullet, slaps the table, and stands up with a giddy look in his eyes. ""Now that's the stuff! Say what you will about the greedy bastards, but no one makes a drink like a Tri-Tachyon bartender."" He reaches behind the barstool to grab his rolling suitcase and makes for the door before pausing and looking back.

""Oh, and Captain? Fair warning. Watch out for Provost Baird. If she asks you to do something, you'd better believe there's a catch."" He grimaces, looks toward the entrance of the bar, and looks back.

""Adios, Captain! May we never meet again."" He waves as he walks out the door.

You feel a momentary twinge of concern for the academician as he walks away. He's probably going to gamble all that money away, but... It's not your problem. You look through the briefcase one more time and finish your drink.",pickedPurchasedLeave:Transfer the data to your TriPad,
pickedGamblerLeave,DialogOptionSelected,$option == pickedPurchasedLeave,"AddTextSmall ""You have received access to the special Reverse Engineered hullmods"" good
AddTextSmall ""You can check the complete list of these hullmods at the refit screen - hullmod tab under [Reversed Engineered] tech/manufacturer."" highlight
SPHMUHullmodSpecialBundleLearnItYouFuck
RemoveBarEvent introPTGambler ""Approach a troubled looking man drinking at the counter"" ""A disgruntled, disheveled academician wasting himself and cussing over something.""","Just to be safe, you transfer the data of each hullmod specs to your TriPad. It takes a few minutes, but once you're done, you pay the tab, pick up the briefcase, and make your way back to your ship.",backToBar:Leave the counter,
,,,,,,
#I HATE RANDOM SECTOR,,,,,,
meetGamblerBarRS,AddBarEvents,"SPHMUHaveNexRand
SPHMUIsPlayerLevel 9
$faction.id == tritachyon
RollProbability 1
!$global.SpecialHMODBarOffer
!SPHMULearnedHullmod HULLMODSLIST","AddBarEvent introGamblerRS ""Approach a troubled looking man drinking at the counter"" ""A disgruntled, disheveled academician wasting himself and cussing over something."" highlight",,,
introGamblerRS,DialogOptionSelected,"$option == introGamblerRS
!$global.SpecialHMODBarOffer
#$isPerson
#$id == sphmu_hubert","#ShowPersonVisual
BeginConversation sphmu_hubert true true","As you approach, the man clenches his jaw, chugs his beverage, and slams his cup down on the table. The bartender sighs, refills the customer's drink, and, with a tired smile, motions for you to take a seat. Flustered, you sit down at the bar and order a drink while you subtly observe the angry man.

""32. That's all it had to hit. Fucking. 32. All my money, lost on a stupid bet... Where the hell am I going to get the money to get out of this place anyway? Shit...""

He picks up his refilled glass, grimaces, and takes a long gulp. He looks to his side and seems to take notice of you. His right hand reflexively moves down to the metal case on the stool next to him, and a hungry look appears in his eyes. You hear him whisper something under his breath, but you can't quite make it out. 

""Hey, you!"" He elbows you as you put your drink to your lips, almost causing you to spill. ""Moment of your time? I happen to have picked up something pretty interesting a little while ago. Might be of use to a spacer like yourself.""","introGamblerContRS:""Explain.""",
introGamblerContRS,DialogOptionSelected,"$option == introGamblerContRS
!$global.SpecialHMODBarOffer",,"""Sure, sure... The name's Hubert Klein. I'm a Domain-tech researcher at some independent academy. Technically, I'm on a business trip but, you see, I've got a bit of a weakness when it comes to casinos. Turns out Tri-Tach knows how to run a good establishment. So good, in fact, that I can't afford a ride back home."" He leans closer to you and whispers, ""Or my bar tab.""

""I decided take a little detour before heading back to the place I need to return. Maybe play the slots, a little blackjack; you know, something simple, easy to walk away from. And it went well! I hit the jackpot on the slots and got, well, maybe a little overconfident. I figured I'd take those winnings to the roulette table and see just how far I could push my luck.""

He suddenly frowns and kneads his brows. ""Gambler's fallacy, right? I'm a university professor! I should've known better. I made a couple of decent bets, made a little more money, drank a little more whiskey, and before I knew it I had all my money on 32. Ball hit 31. Shit.""","introGamblerOptionsRS:""...and?""",
offerGamblerOptionsRS,DialogOptionSelected,"$option == introGamblerOptionsRS
!$global.SpecialHMODBarOffer","SetTextHighlights 100,000
FireBest DisableThisOptionIfPlayerisPoorAsFuck
DoCanAffordCheck 100000 OfferDealPlayerHasRequirements false","He picks his suitcase up off the bar stool and presents it to you.

""This was supposed to be delivered to a location you don't need to know, two days ago. Unfortunately, I can't afford a ship back, and my expense account got canceled yesterday. So, let's make a deal.""

""Inside this briefcase are several hullmod specifications developed by our research team. The conclusion of the project? Well, we found out that we can use Domain-era technology to boost the performance of the Sector's warships. How?"" He rolls his eyes. ""Doesn't matter how. You don't have enough PhDs to understand how. Point is, this is valuable.""

""There is no way I still have my job. But I do have this briefcase. And you have money. How about... 100,000 credits for the whole thing?

""So what do you say? You want these hullmod specs or not?""","1:OfferDealPlayerHasRequirementsRS:Buy the hullmod specs for 100,000 credits
2:pickedDecline:""I am not interested.""",
,,,,,,
playerIsPissPoorLolRS,DisableThisOptionIfPlayerisPoorAsFuck,!SPHMUHasRequirements playerHasCredits,"SetTooltip OfferDealPlayerHasRequirements ""Insufficient amount of credits.""
SetEnabled OfferDealPlayerHasRequirements false",,,
,,,,,,
pickedGamblerOptionARS,DialogOptionSelected,"$option == OfferDealPlayerHasRequirementsRS
!$global.SpecialHMODBarOffer","SetTextHighlights Seventeen
$global.SpecialHMODBarOffer = true","""Alright, it's a deal then. Here's the keycard and passcode. Go ahead, open it up. Give it a try. I've got nothing to hide here.""

You insert the keycard, enter the passcode, and the suitcase clicks open with an electronic chime. Seventeen neatly stacked hullmod specs lay in the briefcase. You scan each one with your TriPad to make sure they're real. Satisfied, you put the specs back and close the briefcase.

""See? I'm not lying. You saw what's in there. 100,000 credits barely scratches the surface of what those things are worth. You wont find those anywhere else in the Sector, either, so don't lose them. Or, do. Hell if I care. Just give me my money and we'll both leave happy."" He grins.

You tap his TriPad with your credit chip and the transaction is complete.",pickedPurchasedContRS:Send the payment,
pickedGamblerOptionBRS,DialogOptionSelected,$option == pickedDeclineRS,,"""Is that so. Damn it, come on captain, you are missing an actual good deal here.""
OR
""That's it?! That's your answer? You are missing out something big here, captain.""
OR
The academician sighs.

""What a shame. You are letting this opportunity to slip away.""",pickedDeclineLeaveRS:Leave,
pickedGamblerOptionBLeaveRS,DialogOptionSelected,$option == pickedDeclineLeaveRS,"ShowDefaultVisual
EndConversation
#DismissDialog",,,
,,,,,,
,,,,,,
pickedGamblerPurchasedRS,DialogOptionSelected,$option == pickedPurchasedContRS,"#CreditCheck
SPHMUPlaySound ui_intel_log_update
AddCredits -100000","""Confirmed. Credits received. You know what? I might see if I can recoup my losses with this. Don't worry about me, okay? Lady Luck is calling my name!""

He calls over the bartender, who pours him another drink. He raises his whiskey and looks you in the eyes.",pickedPurchasedEndRS:Cheers,
pickedGamblerEndRS,DialogOptionSelected,$option == pickedPurchasedEndRS,ShowDefaultVisual,"He slams the drink down his gullet, slaps the table, and stands up with a giddy look in his eyes. ""Now that's the stuff! Say what you will about the greedy bastards, but no one makes a drink like a Tri-Tachyon bartender."" He reaches behind the barstool to grab his rolling suitcase and makes for the door before pausing and looking back.

""Adios, Captain! May we never meet again."" He waves as he walks out the door.

You feel a momentary twinge of concern for the academician as he walks away. He's probably going to gamble all that money away, but... It's not your problem. You look through the briefcase one more time and finish your drink.",pickedPurchasedLeaveRS:Transfer the data to your TriPad,
pickedGamblerLeaveRS,DialogOptionSelected,$option == pickedPurchasedLeaveRS,"AddTextSmall ""You have received access to the special Reverse Engineered hullmods"" good
AddTextSmall ""You can check the complete list of these hullmods at the refit screen - hullmod tab under [Reversed Engineered] tech/manufacturer."" highlight
SPHMUHullmodSpecialBundleLearnItYouFuck
RemoveBarEvent introGamblerRS ""Approach a troubled looking man drinking at the counter"" ""A disgruntled, disheveled academician wasting himself and cussing over something.""","Just to be safe, you transfer the data of each hullmod specs to your TriPad. It takes a few minutes, but once you're done, you pay the tab, pick up the briefcase, and make your way back to your ship.",backToBar:Leave the counter,
#End Special Bar Event,,,,,,
